block,idx,tensor_idx
[2*]c1ccnn1[1*],151804,137
[2*]c1cc(C)nn1[1*],151805,138
[3*]NCCO,151806,139
[3*]NCCCc1ccccc1,151807,140
[3*]NCCN(CC)CC,151808,141
[1*]N1CCCC1C([2*])=O,151809,142
[3*]C(=O)NCc1ccccc1,151810,143
[3*]C(=O)NC1CCCCC1,151811,144
[3*]OCC1CO1,151812,145
[3*]c1ccc([N+](=O)[O-])cc1,151813,146
[3*]NCCc1ccccc1,151814,147
[3*]NS(=O)(=O)c1ccc(C)cc1,151815,148
[2*]c1nc([1*])nc(N)n1,151816,149
[3*]Nc1ccc(Br)cc1,151817,150
[3*]C=C1NC(=O)NC1=O,151818,151
[3*]C(=O)CCc1ccccc1,151819,152
[3*]c1ccc(CC)cc1,151820,153
[3*]c1ccccc1Br,151821,154
[2*]NCC(=O)OC[1*],151822,155
[3*]c1ccccc1O,151823,156
[3*]c1ccc(OC)cc1OC,151824,157
[2*]c1ccc(OC[1*])cc1,151825,158
[2*]c1ccccc1[1*],151826,159
[3*]Nc1ccc(OC)cc1OC,151827,160
[3*]C(=O)c1cc(OC)cc(OC)c1,151828,161
[3*]c1ccc(S(C)(=O)=O)cc1,151829,162
[2*]c1cccn1[1*],151830,163
[3*]OCCN(CC)CC,151831,164
[2*]C(=O)C(C)O[1*],151832,165
[3*]C(=O)c1ccc(OC)c(OC)c1,151833,166
[3*]N1CCc2ccccc2C1,151834,167
[3*]c1ccnc(C)c1,151835,168
[3*]NCCc1ccc(OC)c(OC)c1,151836,169
[3*]NCc1cccc(OC)c1,151837,170
[3*]C(=O)CCC,151838,171
[3*]C(=O)CCCCCCC,151839,172
[1*]C(=O)c1ccc([2*])cc1,151840,173
[1*]c1cc(C([2*])=O)c2ccccc2n1,151841,174
[3*]OC1OC(CO)C(O)C(O)C1O,151842,175
[3*]c1cccc([N+](=O)[O-])c1,151843,176
[3*]c1ccnc2ccccc12,151844,177
[3*]c1ccc2ccccc2c1,151845,178
[1*]c1ccccc1[2*],151846,179
[3*]c1ccc(F)c(Cl)c1,151847,180
[2*]C1=C([1*])C(=O)NC1=O,151848,181
[3*]c1cn(C)c2ccccc12,151849,182
[3*]NCCc1ccc(OC)cc1,151850,183
[3*]C=CC=O,151851,184
[3*]c1ccccc1[N+](=O)[O-],151852,185
[1*]C(=O)C(N)C[2*],151853,186
[3*]c1ccc(O)cc1,151854,187
[2*]c1cc([1*])ncn1,151855,188
[3*]n1ccnc1,151856,189
[3*]Nc1c(C)cccc1C,151857,190
[2*]C(=O)C(C#N)=C[1*],151858,191
[3*]c1ccc(O)c(O)c1,151859,192
[1*]Nc1nccc([2*])n1,151860,193
[1*]Nc1cccc([2*])c1,151861,194
[3*]C(=O)CCCCC,151862,195
[3*]c1ccsc1,151863,196
[3*]C(=O)c1cccs1,151864,197
[2*]c1ccnc([1*])n1,151865,198
[3*]Nc1cccc(C(=O)O)c1,151866,199
[2*]NC(C)C([1*])=O,151867,200
[2*]NC(Cc1ccccc1)C([1*])=O,151868,201
[2*]NC(C[1*])C(N)=O,151869,202
[3*]Nc1cccc([N+](=O)[O-])c1,151870,203
[3*]C(=O)CN1CCOCC1,151871,204
[3*]C(=O)c1ccc([N+](=O)[O-])cc1,151872,205
[3*]C(=O)c1ccc(Cl)cc1Cl,151873,206
[3*]C(=O)c1cccc(C)c1,151874,207
[3*]c1ncc[nH]1,151875,208
[3*]n1cccc1,151876,209
[2*]C1=NN(C(C)=O)C([1*])C1,151877,210
[3*]Nc1ccc([N+](=O)[O-])cc1,151878,211
[3*]c1ccc(O)cc1O,151879,212
[3*]c1ccc(C)cc1,151880,213
[3*]C(=O)c1ccccc1C,151881,214
[3*]Nc1cccnc1,151882,215
[3*]C(=O)c1ccncc1,151883,216
[3*]Nc1ccncc1,151884,217
[3*]C(=O)OC(C)(C)C,151885,218
[3*]c1ccc(C(=O)O)cc1,151886,219
[2*]c1cccc([1*])c1,151887,220
[2*]c1cncc([1*])n1,151888,221
[3*]C(=O)Cc1ccccc1,151889,222
[1*]c1ccc([2*])cc1,151890,223
[2*]c1cccc([1*])n1,151891,224
[3*]c1cnc2ccccc2n1,151892,225
[3*]Nc1ccc(C#N)cc1,151893,226
[1*]Nc1ccnc([2*])n1,151894,227
[3*]c1c(C)cc(C)cc1C,151895,228
[3*]C(=O)c1ccc(Br)cc1,151896,229
[3*]c1cc(OC)ccc1OC,151897,230
[3*]c1ccc(C)s1,151898,231
[3*]C(=O)c1ccccc1F,151899,232
[3*]c1cc2ccccc2oc1=O,151900,233
[3*]c1cccc(O)c1,151901,234
[3*]C(=O)c1ccc(C(C)(C)C)cc1,151902,235
[3*]Nc1ccc(C(=O)O)cc1,151903,236
[3*]C(=O)Nc1ccc(OC)cc1,151904,237
[3*]c1c[nH]cn1,151905,238
[3*]c1ccc(C(=N)N)cc1,151906,239
[3*]Nc1nc(C)cs1,151907,240
[3*]Nc1c(C)cc(C)cc1C,151908,241
[1*]Nc1ncnc([2*])n1,151909,242
[3*]c1cc2ccccc2[nH]1,151910,243
[3*]C(=O)NCC,151911,244
[3*]N(CCC)CCC,151912,245
[3*]C(=O)CCC(=O)O,151913,246
[2*]c1ccccc1OC[1*],151914,247
[3*]c1c(Cl)cccc1Cl,151915,248
[3*]N(C)C,151916,249
[2*]NCCCN[1*],151917,250
[2*]c1nc2ccccc2c(=O)n1[1*],151918,251
[2*]C(=O)CCC[1*],151919,252
[3*]CCc1ccccc1,151920,253
[2*]C(=O)CCCCC([1*])=O,151921,254
[3*]C=Cc1ccccc1,151922,255
[3*]c1cc(OC)c(OC)c(OC)c1,151923,256
[3*]c1cccc(C)n1,151924,257
[3*]Nc1nccs1,151925,258
[3*]C(=O)c1ccccn1,151926,259
[3*]c1cnc2ccccc2c1,151927,260
[3*]N1CCC(C)CC1,151928,261
[3*]NCC(=O)O,151929,262
[2*]C(=O)C(N)C[1*],151930,263
[3*]NC1CCCC1,151931,264
[1*]c1ccc([2*])s1,151932,265
[1*]Nc1ccccc1[2*],151933,266
[3*]Nc1cccc(F)c1,151934,267
[2*]CCN1CCN([1*])CC1,151935,268
[3*]c1ccc(C)o1,151936,269
[3*]c1cc(C)cc(C)c1,151937,270
[3*]N1CCN(CC)CC1,151938,271
[3*]c1ccc(C)c(C)c1,151939,272
[3*]Nc1cc(C)cc(C)c1,151940,273
[3*]c1sccc1C,151941,274
[3*]c1ccc(N(C)C)cc1,151942,275
