target;protectedtarget;numGens;monoDeprotected;diProtected;total#ofBuilings;blockAboveLimits
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1;C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1;4;C=CC(=O)O;Cc1ccnc(C(C)C)c1-n1c(=O)nc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)c2cc(F)c(Br)nc21.Cc1ccnc(C(C)C)c1-n1c(=O)nc(Br)c2cc(F)c(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)nc21;3;0
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[1nH]ccc3n12;CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3c(cc[1n]3C(=O)OC(C)(C)C)n12;2;CC(C)(C)OC(=O)[1n]1ccc2c1ncc1ncc(Br)n12.CC(C)(C)OC(=O)[1n]1ccc2c1ncc1ncc(B(O)O)n12.CC[C@@H]1CNC[C@@H]1c1cnc2cnc3c(cc[1n]3C(=O)OC(C)(C)C)n12.O=C=NCC(F)(F)F;;4;0
CCN(CC)CCNC(=O)c1c(C)[1nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;CCN(CC)CCNC(=O)c1c(C)c(/C=C2\C(=O)Nc3ccc(F)cc32)[1n](C(=O)OC(C)(C)C)c1C;5;O=C1Nc2ccc(F)cc2/C1=C/Br.CCN(CC)CCN;Cc1c(C(=O)O)c(C)[1n](C(=O)OC(C)(C)C)c1B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1;3;0
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1;COc1cc2c(Nc3ccc([At])cc3F)ncnc2cc1OCC1CCN(C)CC1;2;[4CH3]c1ccc(B(O)O)c(F)c1.COc1cc2c(N)ncnc2cc1OCC1CCN(C)CC1.[4CH3]c1ccc(Br)c(F)c1.[4CH3]c1ccc(N)c(F)c1.COc1cc2c(B(O)O)ncnc2cc1OCC1CCN(C)CC1.COc1cc2c(Br)ncnc2cc1OCC1CCN(C)CC1;COc1cc2c(NC(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)ncnc2cc1Br;7;0
CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1;CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1;3;Nc1ncc2cc3n(c2n1)C1(CCCCC1)CNC3=O.O=C1NCC2(CCCCC2)n2c1cc1cnc(Br)nc12.CN1CCNCC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cn3)cc2)OC(=O)C1(C)C;4;0
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1;CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1;3;[1CH3]c1ccc(Br)c(F)c1.[1CH3]c1ccc(N)c(F)c1.[1CH3]c1ccc(B(O)O)c(F)c1.CC(=O)O;Cc1c(=O)n(C)c(Br)c2c(=O)n(C3CC3)c(=O)n(-c3cccc(NC(=O)OCc4ccc(B5OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O5)cc4)c3)c12;5;0
Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1;Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1;3;Brc1ccn2ncnc2c1.Nc1ncnc2ccc(Nc3ncco3)cc12.OB(O)c1ncnc2ccc(Nc3ncco3)cc12.OB(O)c1ccn2ncnc2c1.Brc1ncnc2ccc(Nc3ncco3)cc12;Cc1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)ccc1Br;6;0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[1nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F;CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[1n](C(=O)OC(C)(C)C)c3ncc(-c4ccc(Cl)cc4)cc23)c1F;2;[1CH3]c1ccc(B(O)O)cc1.CCCS(=O)(=O)Nc1ccc(F)c(B(O)O)c1F.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[1n](C(=O)OC(C)(C)C)c3ncc(B(O)O)cc23)c1F.CCCS(=O)(=O)Nc1ccc(F)c(Br)c1F.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[1n](C(=O)OC(C)(C)C)c3ncc(Br)cc23)c1F.[1CH3]c1ccc(Br)cc1;CN1C(C)(C)C(=O)OB(c2cnc3c(c2)c(Br)c[1n]3C(=O)OC(C)(C)C)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2c[1n](C(=O)OC(C)(C)C)c3ncc(Br)cc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(F)c(C(=O)c4c[1n](C(=O)OC(C)(C)C)c5ncc(Br)cc45)c3F)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(F)c(Br)c3F)cc2)OC(=O)C1(C)C;10;0
C=CC(=O)N1CCC([C@@H]2CC[1NH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1;C=CC(=O)N1CCC([C@@H]2CC[1N](C(=O)OC(C)(C)C)c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1;4;C=CC(=O)O.OB(O)c1ccccc1.Oc1ccccc1.Brc1ccccc1;CN1C(C)(C)C(=O)OB(c2ccc(Br)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCC([C@@H]4CC[1N](C(=O)OC(C)(C)C)c5c(-c6ncco6)c(Br)nn54)CC3)cc2)OC(=O)C1(C)C;6;0
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[1nH]ncc4c3)c3ccccc3n2)c1;CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4c(cn[1n]4C(=O)OC(C)(C)C)c3)c3ccccc3n2)c1;4;CC(C)N.CC(C)(C)OC(=O)[1n]1ncc2cc(N)ccc21.CC(C)(C)OC(=O)[1n]1ncc2cc(Br)ccc21.CC(C)(C)OC(=O)[1n]1ncc2cc(B(O)O)ccc21;CN1C(C)(C)C(=O)OB(c2cccc(Br)c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nc(Br)nc4ccccc34)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cccc(OCC(=O)O)c2)OC(=O)C1(C)C;7;0
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1;N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1;5;N#CCN.C1COCCN1;CN1C(C)(C)C(=O)OB(c2ccnc(Br)n2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nccc(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(C(=O)O)cc2)OC(=O)C1(C)C;6;0
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;4;;CN1C(C)(C)C(=O)OB(/C=C/Br)OC(=O)C1(C)C.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/C=C/B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCCC[C@H]3C(=O)O)cc2)OC(=O)C1(C)C.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/C=C\B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1;5;4
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;4;CC(CO)(CO)C(=O)O;CN1C(C)(C)C(=O)OB(/C=C/Br)OC(=O)C1(C)C.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/C=C/B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCCC[C@H]3C(=O)O)cc2)OC(=O)C1(C)C.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/C=C\B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1;6;8
