target;protectedtarget;numGens;monoDeprotected;diProtected;total#ofBuilings;blockAboveLimits
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c([1NH2])nccn12;CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c([1NH]C(=O)OC(C)(C)C)nccn12;4;Nc1ccccn1.CC#CC(=O)O;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCC[C@H]3c3nc(Br)c4c([1NH]C(=O)OC(C)(C)C)nccn34)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(C(=O)O)cc2)OC(=O)C1(C)C;4;0
CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F;CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F;2;Brc1cnc2ncc(Cc3ccc4ncccc4c3)n2n1.OB(O)c1ccc2ncccc2c1.CNC(=O)c1ccc(B(O)O)cc1F.CNC(=O)c1ccc(Br)cc1F.Brc1ccc2ncccc2c1.OB(O)c1cnc2ncc(Cc3ccc4ncccc4c3)n2n1;CN1C(C)(C)C(=O)OB(c2ccc(C(=O)O)c(F)c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cnc3ncc(Br)n3n2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cnc3ncc(Br)nn23)OC(=O)C1(C)C;9;0
Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)([1NH2])c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1;Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)([1NH]C(=O)OC(C)(C)C)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1;4;CC(C)(C)OC(=O)[1NH][C@@](C)(c1ccc(F)cc1)c1cnc(Br)nc1.OB(O)c1ccc(F)cc1.Cn1cc(B(O)O)cn1.Cn1cc(Br)cn1.Fc1ccc(Br)cc1;CN1C(C)(C)C(=O)OB(c2cnc(Br)nc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ncnn3cc(Br)cc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cc3c(Br)ncnn3c2)OC(=O)C1(C)C;8;0
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc([1NH2])nc1)N1CCN=C21;COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc([1NH]C(=O)OC(C)(C)C)nc1)N1CCN=C21;2;CC(C)(C)OC(=O)[1NH]c1ncc(C(=O)O)cn1.COc1c(OCCCN2CCOCC2)ccc2c1N=C(N)N1CCN=C21;COc1c(Br)ccc2c1N=C(NC(=O)OCc1ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc1)N1CCN=C21;3;0
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC;COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC;4;Nc1ccc(F)cc1.COc1cc2nccc(B(O)O)c2cc1OC.COc1cc2nccc(Br)c2cc1OC;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C;4;0
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCC[1NH]2)C1;O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCC[1NH]2)C1;3;[1CH3]c1ccc(Br)c(F)c1.[1CH3]c1ccc(N)c(F)c1.[1CH3]c1ccc(B(O)O)c(F)c1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3c(C(=O)O)ccc(F)c3F)cc2)OC(=O)C1(C)C;4;0
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[1nH]c2c1;CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[1n](C(=O)OC(C)(C)C)c2c1;3;CNC(=O)c1ccccc1Sc1ccc2c(B(O)O)n[1n](C(=O)OC(C)(C)C)c2c1.CNC(=O)c1ccccc1Sc1ccc2c(C=CB(O)O)n[1n](C(=O)OC(C)(C)C)c2c1.OB(O)c1ccccn1.CC(C)(C)OC(=O)[1n]1nc(/C=C/c2ccccn2)c2ccc(B(O)O)cc21.CNC(=O)c1ccccc1Sc1ccc2c(/C=C/B(O)O)n[1n](C(=O)OC(C)(C)C)c2c1.Brc1ccccn1.OB(O)/C=C/c1ccccn1.CNC(=O)c1ccccc1Sc1ccc2c(Br)n[1n](C(=O)OC(C)(C)C)c2c1.CNC(=O)c1ccccc1Sc1ccc2c(/C=C\Br)n[1n](C(=O)OC(C)(C)C)c2c1.Br/C=C/c1ccccn1.CNC(=O)c1ccccc1Sc1ccc2c(/C=C\B(O)O)n[1n](C(=O)OC(C)(C)C)c2c1.CNC(=O)c1ccccc1Br.CNC(=O)c1ccccc1B(O)O.CNC(=O)c1ccccc1Sc1ccc2c(C=CBr)n[1n](C(=O)OC(C)(C)C)c2c1.BrC=Cc1ccccn1.CC(C)(C)OC(=O)[1n]1nc(/C=C/c2ccccn2)c2ccc(Br)cc21.CNC(=O)c1ccccc1Sc1ccc2c(/C=C/Br)n[1n](C(=O)OC(C)(C)C)c2c1;CN1C(C)(C)C(=O)OB(/C=C/c2n[1n](C(=O)OC(C)(C)C)c3cc(Br)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(/C=C\c2n[1n](C(=O)OC(C)(C)C)c3cc(Sc4ccccc4C(=O)O)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(/C=C/Br)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc3c(C=CBr)n[1n](C(=O)OC(C)(C)C)c3c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc3c(Br)n[1n](C(=O)OC(C)(C)C)c3c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(C=Cc2n[1n](C(=O)OC(C)(C)C)c3cc(Sc4ccccc4C(=O)O)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2n[1n](C(=O)OC(C)(C)C)c3cc(Br)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(/C=C/c2n[1n](C(=O)OC(C)(C)C)c3cc(Sc4ccccc4C(=O)O)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(/C=C\c2n[1n](C(=O)OC(C)(C)C)c3cc(Br)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccccc2C(=O)O)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2n[1n](C(=O)OC(C)(C)C)c3cc(Sc4ccccc4C(=O)O)ccc23)OC(=O)C1(C)C;28;0
C[C@@H](Oc1cc(-c2cnn(C3CC[1NH]CC3)c2)cnc1[1NH2])c1c(Cl)ccc(F)c1Cl;C[C@@H](Oc1cc(-c2cnn(C3CC[1N](C(=O)OC(C)(C)C)CC3)c2)cnc1[1NH]C(=O)OC(C)(C)C)c1c(Cl)ccc(F)c1Cl;2;CC(C)(C)OC(=O)[1N]1CCC(n2cc(Br)cn2)CC1.C[C@@H](Oc1cc(Br)cnc1[1NH]C(=O)OC(C)(C)C)c1c([1CH3])ccc(F)c1[1CH3].C[C@@H](Oc1cc(B(O)O)cnc1[1NH]C(=O)OC(C)(C)C)c1c([1CH3])ccc(F)c1[1CH3].CC(C)(C)OC(=O)[1N]1CCC(n2cc(B(O)O)cn2)CC1;CN1C(C)(C)C(=O)OB(c2cc(Br)cnc2[1NH]C(=O)OC(C)(C)C)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cnc([1NH]C(=O)OC(C)(C)C)c(Br)c2)OC(=O)C1(C)C;6;0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1;3;[1CH3]c1cc(B(O)O)ccc1F.[1CH3]c1cc(Br)ccc1F.[1CH3]c1cc(N)ccc1F.O=C(O)/C=C/CN1CCCCC1;COc1cc2ncnc(Br)c2cc1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1;5;0
C[C@H](Nc1ncnc2[1nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1;C[C@H](Nc1ncnc2c1nc[1n]2C(=O)OC(C)(C)C)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1;2;C[C@H](N)c1cc2cccc([1CH3])c2c(=O)n1-c1ccccc1.CC(C)(C)OC(=O)[1n]1cnc2c(B(O)O)ncnc21.CC(C)(C)OC(=O)[1n]1cnc2c(Br)ncnc21;;3;0
