target;protectedtarget;numGens;monoDeprotected;diDeprotected;total#ofBuilings;blockAboveLimits;monoProtected;diProtected
N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1;N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1;2;N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)O)c1.NC1CC(F)(F)C1;;2;1;N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)O)c1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NC3CC(F)(F)C3)cc2)OC(=O)C1(C)C;
O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1;O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1;3;Fc1ccc(F)c([C@H]2CCCN2)c1.O[C@H]1CCNC1;;2;0;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCC[C@@H]3c3cc(F)ccc3F)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CC[C@H](O)C3)cc2)OC(=O)C1(C)C;
CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1;CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1;4;CN1CCN(C2CCNCC2)CC1.NC1CCOCC1;CCc1nc(-c2ncco2)c(N)nc1Br.COc1cc(N)ccc1Br;4;0;CN1CCN(C2CCN(C(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)CC2)CC1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NC3CCOCC3)cc2)OC(=O)C1(C)C;COc1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)ccc1Br.CCc1nc(-c2ncco2)c(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)nc1Br
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O;COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O;3;COc1cc2nccc(B(O)O)c2cc1-c1ncco1.COc1cc2nccc(Br)c2cc1-c1ncco1.NC1CC1.O=C=NC1CC1;[1CH3]c1cc(Br)ccc1N;5;0;COc1cc2nccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)c2cc1-c1ncco1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NC3CC3)cc2)OC(=O)C1(C)C.COc1cc2nccc(Br)c2cc1-c1ncco1.O=C=NC1CC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3[1CH3])cc2)OC(=O)C1(C)C
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4;CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4;2;O=C(O)c1ccccc1;;1;0;O=C(O)c1ccccc1;
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1;CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1;4;CCC(=O)O.COc1ncc(Br)cc1C(F)(F)F.COc1ncc(B(O)O)cc1C(F)(F)F;Brc1ncnc2c1CNCC2;4;0;CCC(=O)O.COc1ncc(Br)cc1C(F)(F)F.COc1ncc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1C(F)(F)F;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCc4ncnc(Br)c4C3)cc2)OC(=O)C1(C)C
CS(=O)(=O)CC[1NH]Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1;CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1;3;[1CH3]c1cc(N)ccc1OCc1cccc(F)c1.CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(B(O)O)o1.[1CH3]c1cc(B(O)O)ccc1OCc1cccc(F)c1.[1CH3]c1cc(Br)ccc1OCc1cccc(F)c1.CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(Br)o1;OB(O)c1ncnc2ccc(Br)cc12.[1CH3]c1cc(N)ccc1Br.Nc1ncnc2ccc(Br)cc12.OB(O)c1ccc2ncnc(Br)c2c1;9;0;CN1C(C)(C)C(=O)OB(c2ccc(OCc3cccc(F)c3)c([1CH3])c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(OCc4cccc(F)c4)c([1CH3])c3)cc2)OC(=O)C1(C)C.[1CH3]c1cc(Br)ccc1OCc1cccc(F)c1.CN1C(C)(C)C(=O)OB(c2ccc(C[1N](CCS(C)(=O)=O)C(=O)OC(C)(C)C)o2)OC(=O)C1(C)C.CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(Br)o1;CN1C(C)(C)C(=O)OB(c2ncnc3ccc(Br)cc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)c([1CH3])c3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncnc4ccc(Br)cc34)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc3ncnc(Br)c3c2)OC(=O)C1(C)C
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c([1NH2])ncnc32)C1;C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c([1NH]C(=O)OC(C)(C)C)ncnc32)C1;4;C=CC(=O)O.OB(O)c1ccccc1.Oc1ccccc1.Brc1ccccc1;CC(C)(C)OC(=O)[1NH]c1ncnc2c1c(Br)nn2[C@@H]1CCCNC1.OB(O)c1ccc(Br)cc1;6;0;C=CC(=O)O.Oc1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1;CN1C(C)(C)C(=O)OB(c2ccc(Br)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCC[C@@H](n4nc(Br)c5c([1NH]C(=O)OC(C)(C)C)ncnc54)C3)cc2)OC(=O)C1(C)C
C[C@H]1Oc2cc(cnc2[1NH2])-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21;C[C@H]1Oc2cc(cnc2[1NH]C(=O)OC(C)(C)C)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21;3;;CC(C)(C)OC(=O)[1NH]c1ncc(Br)cc1B(O)O.C[C@@H](Oc1cc(B(O)O)cnc1[1NH]C(=O)OC(C)(C)C)c1cc(F)ccc1C(=O)O.CC(C)(C)OC(=O)[1NH]c1ncc(B(O)O)cc1Br.CNCc1nn(C)c(C#N)c1Br;4;0;;C[C@@H](Oc1cc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cnc1[1NH]C(=O)OC(C)(C)C)c1cc(F)ccc1C(=O)O.CN1C(C)(C)C(=O)OB(c2cc(Br)cnc2[1NH]C(=O)OC(C)(C)C)OC(=O)C1(C)C.CN(Cc1nn(C)c(C#N)c1Br)C(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.CN1C(C)(C)C(=O)OB(c2cnc([1NH]C(=O)OC(C)(C)C)c(Br)c2)OC(=O)C1(C)C
Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH2])C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1;Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH]C(=O)OC(C)(C)C)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1;2;Cc1ccc(C(=O)OCc2ccc(Br)cc2)c(C)c1.Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH]C(=O)OC(C)(C)C)C(=O)O)cc2)c(C)c1.Cc1ccc(C(=O)NCc2ccc(B(O)O)cc2)c(C)c1.Nc1ccc2cnccc2c1.Cc1ccc(C(=O)O)c(C)c1.OCc1ccc(Br)cc1.CC(C)(C)OC(=O)[1NH]C[C@@H](C(=O)O)c1ccc(CO)cc1.OCc1ccc(B(O)O)cc1;;8;0;Cc1ccc(C(=O)OCc2ccc(Br)cc2)c(C)c1.Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH]C(=O)OC(C)(C)C)C(=O)O)cc2)c(C)c1.Cc1ccc(C(=O)O)c(C)c1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc4cnccc4c3)cc2)OC(=O)C1(C)C.OCc1ccc(Br)cc1.CC(C)(C)OC(=O)[1NH]C[C@@H](C(=O)O)c1ccc(CO)cc1.CN1C(C)(C)C(=O)OB(c2ccc(CO)cc2)OC(=O)C1(C)C.Cc1ccc(C(=O)NCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)c(C)c1;
