8;deprotB;[#6:1][B:88]1[O:4][C:9](=[O:10])[C:5]([CH3:30])([CH3:31])[N:6]([CH3:7])[C:8]([CH3:32])([CH3:33])[C:11](=[O:12])[O:3]1.[O:13].[O:14]>>[#6:1][B:88]([OH:13])[OH:14].[O:4][C:9](=[O:10])[C:5]([CH3:30])([CH3:31])[N:6]([CH3:7])[C:8]([CH3:32])([CH3:33])[C:11](=[O:12])[O:3];.O.O;;;
10;aminedeprot;[CX4,c,$([CX3]1=[NX2]cc[CX3](=[NX2])[NX3]1):1][NX3H:2][C:34](=[O:39])[O:35][C:63][c:36]2[cH:37][cH:38][c:62]([B:88]1[O:4][C:9](=[O:10])[C:5]([CH3:30])([CH3:31])[N:6]([CH3:7])[C:8]([CH3:32])([CH3:33])[C:11](=[O:12])[O:3]1)[cH:60][cH:61]2.[O:40]>>[*:1][NX3:2].[O:35][C:34](=[O:39])[O:40][C:63][c:36]2[c:37][c:38][c:60]([B:88]1[O:4][C:9](=[O:10])[C:5]([CH3:30])([CH3:31])[N:6]([CH3:7])[C:8]([CH3:32])([CH3:33])[C:11](=[O:12])[O:3]1)[c:61][c:62]2;.O;;;
13;aminedeprot;[CX4:1][NX3:2]([CX4:41])[C:34](=[O:39])[O:35][CH2:63][c:36]2[cH:37][cH:38][c:62]([B:88]1[O:4][C:9](=[O:10])[C:5]([CH3:30])([CH3:31])[N:6]([CH3:7])[C:8]([CH3:32])([CH3:33])[C:11](=[O:12])[O:3]1)[cH:60][cH:61]2.[O:40]>>[*:1][NX3:2][*:41].[O:35][C:34](=[O:39])[O:40][CH2:63][c:36]2[c:37][c:38][c:60]([B:88]1[O:4][C:9](=[O:10])[C:5]([CH3:30])([CH3:31])[N:6]([CH3:7])[C:8]([CH3:32])([CH3:33])[C:11](=[O:12])[O:3]1)[c:61][c:62]2 ;.O;;;
