1;[CX4H3,$([CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H2][CX4H3]),$([CX4H]([CX4H3])[CX4H3]),$([CX4H0]([CX4H3])([CX4H3])[CX4H3]),$([CX4H]([CX4H3])[CX4H2][CX4H3]):1][SX4:2](=[OX1:3])(=[OX1:4])!@[NX3H:5][CX4,c:6];Cl;[CX4H3,$([CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H2][CX4H3]),$([CX4H]([CX4H3])[CX4H3]),$([CX4H0]([CX4H3])([CX4H3])[CX4H3]),$([CX4H]([CX4H3])[CX4H2][CX4H3]):1][SX4:2](=[OX1:3])(=[OX1:4])!@[NX3H:5][CX4,c:6].[ClH:8]>>[NX3H2:5][*:6].[*:1][SX4:2](=[OX1:3])(=[OX1:4])[Cl:8]
2;[#6:1][CX3:2](=[OX1:3])[NX3H1:4][CX4H3:5];O;[#6:1][CX3:2](=[OX1:3])[NX3H1:4][CX4H3:5].[OH2:6]>>[#6:1][CX3:2](=[OX1:3])[OH:6].[NX3H2:4][CX4H3:5]
3;[CX4H3,$([CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H2][CX4H3]),$([CX4H]([CX4H3])[CX4H3]),$([CX4H]([CX4H3])[CX4H2][CX4H3]):1][OX2:6][CX3:2](=[OX1:3])[#6:5];O;[CX4H3,$([CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H3]),$([CX4H2][CX4H2][CX4H2][CX4H3]),$([CX4H]([CX4H3])[CX4H3]),$([CX4H]([CX4H3])[CX4H2][CX4H3]):1][OX2:6][CX3:2](=[OX1:3])[#6:5].[OH2:8]>>[OH:8][CX3:2](=[OX1:3])[#6:5].[OH:6][C:1]
