Unnamed: 0,SMILES,blocks
1622,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,[3*]NCc1ccc(OCCN(C)C)cc1^[3*]C(=O)c1cc(OC)c(OC)c(OC)c1
1638,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,[3*]c1ccccc1^[1*]N(C)CCN1CCC(OC(=O)Nc2ccccc2[2*])CC1^[1*]NC(=O)C1CCN(Cc2ccc(C([2*])=O)cc2)CC1
1651,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,[3*]NC1CCN(CCc2ccc(OC)cc2)CC1^[3*]c1nc2ccccc2n1Cc1ccc(F)cc1
1660,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,[3*]/C(=C\CN1CCCC1)c1ccc(C)cc1^[3*]c1ccccn1
1665,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,[3*]Nc1cc2cc(C(C)(C)CO)n(C[C@@H](O)CO)c2cc1F^[3*]C(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1
1666,CC(=O)Nc1nnc(S(N)(=O)=O)s1,[3*]Nc1nnc(S(=O)(=O)N[3*])s1^[3*]C(C)=O
1688,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,[3*]N1CCCN(C)CC1^[3*]c1nc2ccccc2n1CCOCC
1692,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,[3*]N1CCN(CCc2nnc3n2CCCC3)CC1^[3*]c1ccccc1C
1696,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,[3*]N(CC)Cc1ccncc1^[3*]C(=O)C(CO)c1ccccc1
1811,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,[3*]N(C)C^[1*]c1ccc2cc([2*])ccc2[n+]1C^[3*]C=Cc1cc(C)n(-c2ccccc2)c1C
1812,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])cc2)cc1,[3*]c1ccc(NC)cc1^[3*]C=Cc1ccc(OCCOCCOCC[18F])cc1
1813,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,[3*]c1ccc(NC)cc1^[3*]C=Cc1ccc(OCCOCCOCC[18F])nc1
