,target,protectedtarget,numGens,monoDeprotected,diDeprotected,total#ofBuilings,blockAboveLimits,monoProtected,diProtected,BBs
34,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
47,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,1,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,1,0,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,O=C(O)C(O)(c1ccccc1)C1CCCCC1
49,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,1,COc1cc(C(=O)O)cc(OC)c1OC,,1,0,COc1cc(C(=O)O)cc(OC)c1OC,,COc1cc(C(=O)O)cc(OC)c1OC
50,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,1,O=C(O)C1c2ccccc2Oc2ccccc21,,1,0,O=C(O)C1c2ccccc2Oc2ccccc21,,O=C(O)C1c2ccccc2Oc2ccccc21
51,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,1,O=C(O)C(O)(c1ccccc1)C1CCCC1,,1,0,O=C(O)C(O)(c1ccccc1)C1CCCC1,,O=C(O)C(O)(c1ccccc1)C1CCCC1
53,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,1,OB(O)c1nn(Cc2ccccc2)c2ccccc12.Brc1nn(Cc2ccccc2)c2ccccc12,,2,0,Brc1nn(Cc2ccccc2)c2ccccc12.CN1C(C)(C)C(=O)OB(c2nn(Cc3ccccc3)c3ccccc23)OC(=O)C1(C)C,,OB(O)c1nn(Cc2ccccc2)c2ccccc12.Brc1nn(Cc2ccccc2)c2ccccc12
55,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,1,0,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,O=C(O)C(O)(c1ccccc1)C1CCCCC1
56,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,1,O=C(O)C1(C2CCCCC2)CCCCC1,,1,0,O=C(O)C1(C2CCCCC2)CCCCC1,,O=C(O)C1(C2CCCCC2)CCCCC1
61,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,1,O=C(O)C1c2ccccc2Oc2ccccc21,,1,0,O=C(O)C1c2ccccc2Oc2ccccc21,,O=C(O)C1c2ccccc2Oc2ccccc21
66,CCN(CCCc1ccccc1)CCCc1ccccc1,CCN(CCCc1ccccc1)CCCc1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
68,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[1nH]c2ccccc12,CC(C)(C)OC(=O)[1n]1cc(C(=O)O[C@@H]2C[C@@H]3C[C@H]4C[C@H](C2)N3CC4=O)c2ccccc21,1,CC(C)(C)OC(=O)[1n]1cc(C(=O)O)c2ccccc21,,1,0,CC(C)(C)OC(=O)[1n]1cc(C(=O)O)c2ccccc21,,CC(C)(C)OC(=O)[1n]1cc(C(=O)O)c2ccccc21
80,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,1,O=C(O)C(O)c1ccccc1,,1,0,O=C(O)C(O)c1ccccc1,,O=C(O)C(O)c1ccccc1
82,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,1,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)[C@H](CO)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
84,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,1,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)[C@H](CO)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
90,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,1,OB(O)c1ccccc1.O=C(O)C(CO)c1ccccc1.Brc1ccccc1,,3,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.O=C(O)C(CO)c1ccccc1.Brc1ccccc1,,OB(O)c1ccccc1.O=C(O)C(CO)c1ccccc1.Brc1ccccc1
93,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,1,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)[C@H](CO)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
95,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
96,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[1nH]2)c1C,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[1n]2C(=O)OC(C)(C)C)c1C,1,Cc1c(B(O)O)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(Br)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,,2,0,Cc1c(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(Br)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,,Cc1c(B(O)O)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(Br)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C
99,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,2,CNC,,1,0,CN(C)C(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1,,CNC
100,CCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-],CCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-],1,O=C(O)CS(=O)(=O)[O-],,1,0,O=C(O)CS(=O)(=O)[O-],,O=C(O)CS(=O)(=O)[O-]
102,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,1,O=C(O)C(O)(c1ccccc1)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)C(O)(c1ccccc1)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)C(O)(c1ccccc1)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
103,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[1nH]1,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,1,Cc1c(B(O)O)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(Br)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,,2,0,Cc1c(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(Br)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,,Cc1c(B(O)O)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(Br)ccnc1CS(=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C
104,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,1,COc1ccc(C(=O)O)cc1OC.COc1ccc(B(O)O)cc1.COc1ccc(Br)cc1,,3,0,COc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.COc1ccc(C(=O)O)cc1OC.COc1ccc(Br)cc1,,COc1ccc(C(=O)O)cc1OC.COc1ccc(B(O)O)cc1.COc1ccc(Br)cc1
105,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[1nH]c3ccccc13)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[1n](C(=O)OC(C)(C)C)c3ccccc13)C2,1,CC(C)(C)OC(=O)[1n]1cc(C(=O)O)c2ccccc21,,1,0,CC(C)(C)OC(=O)[1n]1cc(C(=O)O)c2ccccc21,,CC(C)(C)OC(=O)[1n]1cc(C(=O)O)c2ccccc21
108,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,1,O=C(O)C(O)(c1ccccc1)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)C(O)(c1ccccc1)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)C(O)(c1ccccc1)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
110,C[N@+]12CC[C@H](CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,C[N@+]12CC[C@H](CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,1,O=C(O)C(O)(c1ccccc1)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)C(O)(c1ccccc1)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)C(O)(c1ccccc1)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
114,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[1nH]1,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,1,Cc1c(Br)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(B(O)O)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,,2,0,Cc1c(Br)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C,,Cc1c(Br)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C.Cc1c(B(O)O)ccnc1C[S@@](=O)c1nc2ccccc2[1n]1C(=O)OC(C)(C)C
115,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,1,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,O=C(O)[C@H](CO)c1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,O=C(O)[C@H](CO)c1ccccc1.OB(O)c1ccccc1.Brc1ccccc1
120,CCN(CC)CCNC(=O)c1cc(Cl)c([1NH2])cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c([1NH]C(=O)OC(C)(C)C)cc1OC,2,CCN(CC)CCN.COc1cc([1NH]C(=O)OC(C)(C)C)c([1CH3])cc1C(=O)O,,2,0,CCN(CC)CCNC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.COc1cc([1NH]C(=O)OC(C)(C)C)c([1CH3])cc1C(=O)O,,CCN(CC)CCN.COc1cc([1NH]C(=O)OC(C)(C)C)c([1CH3])cc1C(=O)O
129,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,1,CCC(=O)O,,1,0,CCC(=O)O,,CCC(=O)O
131,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1,COc1cc2ccnc(Br)c2cc1OC.COc1cc2ccnc(B(O)O)c2cc1OC.COc1ccc(Br)cc1OC.COc1ccc(B(O)O)cc1OC,,4,0,COc1cc2ccnc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)c2cc1OC.COc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1OC.COc1ccc(Br)cc1OC.COc1cc2ccnc(Br)c2cc1OC,,COc1cc2ccnc(Br)c2cc1OC.COc1cc2ccnc(B(O)O)c2cc1OC.COc1ccc(Br)cc1OC.COc1ccc(B(O)O)cc1OC
133,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,2,CN1[C@@H]2CCC[C@H]1C[C@@H](N)C2.Cn1nc(C(=O)O)c2ccccc21,,2,0,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)OCc1ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc1)C2.Cn1nc(C(=O)O)c2ccccc21,,CN1[C@@H]2CCC[C@H]1C[C@@H](N)C2.Cn1nc(C(=O)O)c2ccccc21
134,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,2,CC(=O)O,,1,0,CC(=O)O,,CC(=O)O
137,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([1NH2])c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC(C)(C)OC(=O)[1NH][C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccc(O)cc1,2,,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O.CC(C)(C)OC(=O)[1NH][C@@H](C(=O)O)c1ccc(O)cc1,2,0,,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N[C@@H]3C(=O)N4[C@@H]3SC(C)(C)[C@@H]4C(=O)O)cc2)OC(=O)C1(C)C.CC(C)(C)OC(=O)[1NH][C@@H](C(=O)O)c1ccc(O)cc1,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O.CC(C)(C)OC(=O)[1NH][C@@H](C(=O)O)c1ccc(O)cc1
141,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,1,CC(C)C[C@H](NC=O)C(=O)O,,1,2,CC(C)C[C@H](NC=O)C(=O)O,,CC(C)C[C@H](NC=O)C(=O)O
142,N=C(N)NC(=N)NCCc1ccccc1,N=C(N)NC(=N)NCCc1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
145,CC(C)([1NH2])Cc1ccccc1,CC(C)(Cc1ccccc1)[1NH]C(=O)OC(C)(C)C,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
146,O=C(NC(Cc1cc(=O)[1nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,CC(C)(C)OC(=O)[1n]1c(=O)cc(CC(NC(=O)c2ccc(Cl)cc2)C(=O)O)c2ccccc21,2,CC(C)(C)OC(=O)[1n]1c(=O)cc(Br)c2ccccc21.[1CH3]c1ccc(C(=O)O)cc1.CC(C)(C)OC(=O)[1n]1c(=O)cc(B(O)O)c2ccccc21,CC(C)(C)OC(=O)[1n]1c(=O)cc(CC(N)C(=O)O)c2ccccc21,4,0,CC(C)(C)OC(=O)[1n]1c(=O)cc(Br)c2ccccc21.CN1C(C)(C)C(=O)OB(c2cc(=O)[1n](C(=O)OC(C)(C)C)c3ccccc23)OC(=O)C1(C)C.[1CH3]c1ccc(C(=O)O)cc1,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NC(Cc3cc(=O)[1n](C(=O)OC(C)(C)C)c4ccccc34)C(=O)O)cc2)OC(=O)C1(C)C,CC(C)(C)OC(=O)[1n]1c(=O)cc(Br)c2ccccc21.[1CH3]c1ccc(C(=O)O)cc1.CC(C)(C)OC(=O)[1n]1c(=O)cc(B(O)O)c2ccccc21.CC(C)(C)OC(=O)[1n]1c(=O)cc(CC(N)C(=O)O)c2ccccc21
148,CC[1NH][C@@H](C)Cc1cccc(C(F)(F)F)c1,CC[1N](C(=O)OC(C)(C)C)[C@@H](C)Cc1cccc(C(F)(F)F)c1,1,OB(O)c1cccc(C(F)(F)F)c1.FC(F)(F)c1cccc(Br)c1,,2,0,FC(F)(F)c1cccc(Br)c1.CN1C(C)(C)C(=O)OB(c2cccc(C(F)(F)F)c2)OC(=O)C1(C)C,,OB(O)c1cccc(C(F)(F)F)c1.FC(F)(F)c1cccc(Br)c1
150,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,1,[1CH3]c1ccc(Br)cc1.[1CH3]c1ccc(B(O)O)cc1,,2,0,[1CH3]c1ccc(Br)cc1.CN1C(C)(C)C(=O)OB(c2ccc([1CH3])cc2)OC(=O)C1(C)C,,[1CH3]c1ccc(Br)cc1.[1CH3]c1ccc(B(O)O)cc1
151,CC[1NH]C(C)Cc1cccc(C(F)(F)F)c1,CC[1N](C(=O)OC(C)(C)C)C(C)Cc1cccc(C(F)(F)F)c1,1,OB(O)c1cccc(C(F)(F)F)c1.FC(F)(F)c1cccc(Br)c1,,2,0,FC(F)(F)c1cccc(Br)c1.CN1C(C)(C)C(=O)OB(c2cccc(C(F)(F)F)c2)OC(=O)C1(C)C,,OB(O)c1cccc(C(F)(F)F)c1.FC(F)(F)c1cccc(Br)c1
153,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
154,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2,CN1CCNCC1,,1,0,CN1CCN(C(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)CC1,,CN1CCNCC1
155,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
157,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,2,,NCCC(=O)O,1,0,,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NCCC(=O)O)cc2)OC(=O)C1(C)C,NCCC(=O)O
158,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
163,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,1,O=C(O)C(O)=C(O)[C@H](O)[C@@H](O)CO,,1,0,O=C(O)C(O)=C(O)[C@H](O)[C@@H](O)CO,,O=C(O)C(O)=C(O)[C@H](O)[C@@H](O)CO
164,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1,Nc1ccccn1,,1,0,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccccn3)cc2)OC(=O)C1(C)C,,Nc1ccccn1
165,COCCCN1CCC(NC(=O)c2cc(Cl)c([1NH2])c3c2OCC3)CC1,COCCCN1CCC(NC(=O)c2cc(Cl)c([1NH]C(=O)OC(C)(C)C)c3c2OCC3)CC1,2,CC(C)(C)OC(=O)[1NH]c1c([1CH3])cc(C(=O)O)c2c1CCO2.COCCCN1CCC(N)CC1,,2,0,COCCCN1CCC(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)CC1.CC(C)(C)OC(=O)[1NH]c1c([1CH3])cc(C(=O)O)c2c1CCO2,,CC(C)(C)OC(=O)[1NH]c1c([1CH3])cc(C(=O)O)c2c1CCO2.COCCCN1CCC(N)CC1
166,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2,CC(=O)c1ccc(S(=O)(=O)N=C=O)cc1.NC1CCCCC1,,2,0,CC(=O)c1ccc(S(=O)(=O)N=C=O)cc1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NC3CCCCC3)cc2)OC(=O)C1(C)C,,CC(=O)c1ccc(S(=O)(=O)N=C=O)cc1.NC1CCCCC1
171,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,2,OB(O)c1ccccc1.Brc1ccccc1,NCC(=O)O,3,1,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NCC(=O)O)cc2)OC(=O)C1(C)C,OB(O)c1ccccc1.Brc1ccccc1.NCC(=O)O
172,COc1cc([1NH2])c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,COc1cc([1NH]C(=O)OC(C)(C)C)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,2,Fc1ccc(Br)cc1.OB(O)c1ccc(F)cc1.COc1cc([1NH]C(=O)OC(C)(C)C)c([1CH3])cc1C(=O)O.CO[C@H]1CN(CCCOc2ccc(F)cc2)CC[C@H]1N,,4,0,CO[C@H]1CN(CCCOc2ccc(F)cc2)CC[C@H]1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.Fc1ccc(Br)cc1.CN1C(C)(C)C(=O)OB(c2ccc(F)cc2)OC(=O)C1(C)C.COc1cc([1NH]C(=O)OC(C)(C)C)c([1CH3])cc1C(=O)O,,Fc1ccc(Br)cc1.OB(O)c1ccc(F)cc1.COc1cc([1NH]C(=O)OC(C)(C)C)c([1CH3])cc1C(=O)O.CO[C@H]1CN(CCCOc2ccc(F)cc2)CC[C@H]1N
175,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2,[1CH3]c1ccc(S(=O)(=O)N=C=O)cc1.CCCN,,2,0,[1CH3]c1ccc(S(=O)(=O)N=C=O)cc1.CCCNC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1,,[1CH3]c1ccc(S(=O)(=O)N=C=O)cc1.CCCN
