,target,protectedtarget,numGens,monoDeprotected,diDeprotected,total#ofBuilings,blockAboveLimits,monoProtected,diProtected,BBs
482,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,1,OB(O)c1cccs1.Brc1cccs1,,2,0,CN1C(C)(C)C(=O)OB(c2cccs2)OC(=O)C1(C)C.Brc1cccs1,,OB(O)c1cccs1.Brc1cccs1
483,CCCC(=O)Nc1ccc(OCC(O)C[1NH]C(C)C)c(C(C)=O)c1,CCCC(=O)Nc1ccc(OCC(O)C[1N](C(=O)OC(C)(C)C)C(C)C)c(C(C)=O)c1,2,CC(=O)c1cc(N)ccc1OCC(O)C[1N](C(=O)OC(C)(C)C)C(C)C.CCCC(=O)O,CC(=O)c1cc(N)ccc1Br,3,0,CC(=O)c1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)ccc1OCC(O)C[1N](C(=O)OC(C)(C)C)C(C)C.CCCC(=O)O,CC(=O)c1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)ccc1Br,CC(=O)c1cc(N)ccc1OCC(O)C[1N](C(=O)OC(C)(C)C)C(C)C.CCCC(=O)O.CC(=O)c1cc(N)ccc1Br
484,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,2,C[C@H](CS)C(=O)O,O=C(O)[C@@H]1CCCN1,2,0,C[C@H](CS)C(=O)O,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCC[C@H]3C(=O)O)cc2)OC(=O)C1(C)C,C[C@H](CS)C(=O)O.O=C(O)[C@@H]1CCCN1
485,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,3,Oc1ccccc1.C1CCNC1.OB(O)c1ccccc1.Brc1ccccc1,,4,0,Oc1ccccc1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCCC3)cc2)OC(=O)C1(C)C,,Oc1ccccc1.C1CCNC1.OB(O)c1ccccc1.Brc1ccccc1
486,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,2,CC(C)COCC(CNCc1ccccc1)N1CCCC1.OB(O)c1ccccc1.Brc1ccccc1,,3,0,CC(C)COCC(CN(Cc1ccccc1)C(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1)N1CCCC1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,CC(C)COCC(CNCc1ccccc1)N1CCCC1.OB(O)c1ccccc1.Brc1ccccc1
487,CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)C[1NH]CCNC(=O)N3CCOCC3)cc2)O1,CC(C)(C)OC(=O)[1N](CCNC(=O)N1CCOCC1)C[C@H](O)COc1ccc(CCC(=O)OC[C@@H]2COC(C)(C)O2)cc1,2,CC1(C)OC[C@@H](CNC(=O)CCc2ccc(B(O)O)cc2)O1.C1COCCN1.CC1(C)OC[C@@H](COC(=O)CCc2ccc(Br)cc2)O1,OB(O)c1ccc(Br)cc1,4,1,CN1C(C)(C)C(=O)OB(c2ccc(CCC(=O)NC[C@@H]3COC(C)(C)O3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCOCC3)cc2)OC(=O)C1(C)C.CC1(C)OC[C@@H](COC(=O)CCc2ccc(Br)cc2)O1,CN1C(C)(C)C(=O)OB(c2ccc(Br)cc2)OC(=O)C1(C)C,CC1(C)OC[C@@H](CNC(=O)CCc2ccc(B(O)O)cc2)O1.C1COCCN1.CC1(C)OC[C@@H](COC(=O)CCc2ccc(Br)cc2)O1.OB(O)c1ccc(Br)cc1
488,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,3,CC1(C)Oc2ccc(N)nc2NC1=O.CC1(C)Oc2ccc(B(O)O)nc2NC1=O.CC1(C)Oc2ccc(Br)nc2NC1=O.COc1cc(Br)cc(OC)c1OC.COc1cc(N)cc(OC)c1OC.COc1cc(B(O)O)cc(OC)c1OC,Nc1ncc(F)c(Br)n1.Nc1nc(Br)ncc1F,8,0,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc4c(n3)NC(=O)C(C)(C)O4)cc2)OC(=O)C1(C)C.CC1(C)Oc2ccc(Br)nc2NC1=O.COc1cc(Br)cc(OC)c1OC.COc1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)cc(OC)c1OC.COc1cc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc(OC)c1OC.CN1C(C)(C)C(=O)OB(c2ccc3c(n2)NC(=O)C(C)(C)O3)OC(=O)C1(C)C,CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncc(F)c(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nc(Br)ncc3F)cc2)OC(=O)C1(C)C,CC1(C)Oc2ccc(N)nc2NC1=O.CC1(C)Oc2ccc(B(O)O)nc2NC1=O.CC1(C)Oc2ccc(Br)nc2NC1=O.COc1cc(Br)cc(OC)c1OC.COc1cc(N)cc(OC)c1OC.COc1cc(B(O)O)cc(OC)c1OC.Nc1ncc(F)c(Br)n1.Nc1nc(Br)ncc1F
490,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,1,O=[N+]([O-])c1cccc(B(O)O)c1.OB(O)c1ccccc1.Brc1ccccc1.O=[N+]([O-])c1cccc(Br)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1,,5,0,Brc1ccccc1.CN1C(C)(C)C(=O)OB(c2cccc([N+](=O)[O-])c2)OC(=O)C1(C)C.O=[N+]([O-])c1cccc(Br)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1.CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C,,O=[N+]([O-])c1cccc(B(O)O)c1.OB(O)c1ccccc1.Brc1ccccc1.O=[N+]([O-])c1cccc(Br)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1
491,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,1,[1CH3]c1cccc(B(O)O)c1[1CH3].CC1=C(C(=O)O)C(c2cccc([1CH3])c2[1CH3])C(C(=O)NCO)=C(C)N1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([1CH3])c1[1CH3].CCCC(=O)O.[1CH3]c1cccc(Br)c1[1CH3],,5,0,CN1C(C)(C)C(=O)OB(c2cccc([1CH3])c2[1CH3])OC(=O)C1(C)C.CC1=C(C(=O)O)C(c2cccc([1CH3])c2[1CH3])C(C(=O)NCO)=C(C)N1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([1CH3])c1[1CH3].CCCC(=O)O.[1CH3]c1cccc(Br)c1[1CH3],,[1CH3]c1cccc(B(O)O)c1[1CH3].CC1=C(C(=O)O)C(c2cccc([1CH3])c2[1CH3])C(C(=O)NCO)=C(C)N1.COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([1CH3])c1[1CH3].CCCC(=O)O.[1CH3]c1cccc(Br)c1[1CH3]
493,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,2,Fc1ccc(Br)cc1.OB(O)c1ccc(F)cc1.Cc1cccc(C)c1N,,3,1,Fc1ccc(Br)cc1.Cc1cccc(C)c1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.CN1C(C)(C)C(=O)OB(c2ccc(F)cc2)OC(=O)C1(C)C,,Fc1ccc(Br)cc1.OB(O)c1ccc(F)cc1.Cc1cccc(C)c1N
